tempo,distance
2025-08-21T11:11:53,12.73
2025-08-21T11:12:02,18.18
2025-08-21T11:12:08,14.55
2025-08-21T11:12:17,10.91
2025-08-21T11:12:23,0.0
2025-08-21T11:12:26,32.73
2025-08-21T11:12:32,1.82
2025-08-21T11:12:35,5.45
2025-08-21T11:12:41,14.55
2025-08-21T11:12:59,18.18
2025-08-21T11:13:14,21.82
2025-08-21T11:13:23,12.73
2025-08-21T11:13:29,16.36
2025-08-21T11:13:41,20.0
2025-08-21T11:14:14,14.55
2025-08-21T11:14:17,25.45
2025-08-21T11:14:20,21.82
2025-08-21T11:14:44,18.18
2025-08-21T11:14:53,21.82
2025-08-21T11:15:05,12.73
2025-08-21T11:15:14,20.0
2025-08-21T11:15:20,16.36
2025-08-21T11:15:23,12.73
2025-08-21T11:15:32,18.18
2025-08-21T11:15:44,21.82
2025-08-21T11:15:50,10.91
2025-08-21T11:16:11,1.82
2025-08-21T11:16:14,10.91
2025-08-21T11:16:17,0.0
2025-08-21T11:16:20,5.45
2025-08-21T11:16:26,1.82
2025-08-21T11:16:47,5.45
2025-08-21T11:16:53,1.82
2025-08-21T11:16:59,5.45
2025-08-21T11:17:02,0.0
2025-08-21T11:17:08,3.64
2025-08-21T11:17:11,0.0
2025-08-21T11:17:14,3.64
2025-08-21T11:17:17,0.0
2025-08-21T11:17:23,3.64
2025-08-21T11:17:26,0.0
2025-08-21T11:17:32,3.64
2025-08-21T11:17:44,0.0
2025-08-21T11:17:56,20.0
2025-08-21T11:17:59,1.82
2025-08-21T11:18:02,20.0
2025-08-21T11:18:05,23.64
2025-08-21T11:18:11,29.09
2025-08-21T11:18:14,3.64
2025-08-21T11:18:17,0.0
2025-08-21T11:18:20,23.64
2025-08-21T11:18:26,12.73
2025-08-21T11:18:32,7.27
2025-08-21T11:18:35,0.0
2025-08-21T11:18:59,12.73
2025-08-21T11:19:02,0.0
2025-08-21T11:19:26,5.45
2025-08-21T11:19:32,9.09
2025-08-21T11:19:41,1.82
2025-08-21T11:20:14,5.45
2025-08-21T11:20:17,0.0
2025-08-21T11:20:44,12.73
2025-08-21T11:20:47,5.45
2025-08-21T11:20:50,1.82
2025-08-21T11:21:14,69.09
2025-08-21T11:21:17,0.0
2025-08-21T11:21:26,9.09
2025-08-21T11:21:30,100.0
2025-08-21T11:21:32,1.82
2025-08-21T11:21:36,100.0
2025-08-21T11:21:38,0.0
2025-08-21T11:21:50,7.27
2025-08-21T11:21:56,1.82
2025-08-21T11:21:59,7.27
2025-08-21T11:22:02,1.82
2025-08-21T11:22:05,9.09
2025-08-21T11:22:11,90.91
2025-08-21T11:22:14,0.0
2025-08-21T11:22:24,100.0
2025-08-21T11:22:26,1.82
2025-08-21T11:23:18,100.0
2025-08-21T11:23:20,96.36
2025-08-21T11:23:30,100.0
2025-08-21T11:23:38,1.82
2025-08-21T11:23:54,100.0
2025-08-21T11:29:56,23.64
2025-08-21T11:30:00,5.45
2025-08-21T11:30:08,1.82
2025-08-21T11:30:14,89.09
2025-08-21T11:30:18,100.0
2025-08-27T19:22:07,100.0
2025-08-27T19:22:34,1.82
2025-08-27T19:22:38,100.0
2025-08-27T19:23:07,70.91
2025-08-27T19:23:11,100.0
2025-08-27T19:23:34,1.82
2025-08-27T19:23:38,100.0
2025-08-27T19:23:40,81.82
2025-08-27T19:23:46,89.09
2025-08-27T19:23:53,100.0
2025-08-27T19:57:47,70.91
2025-08-27T19:57:50,80.0
2025-08-27T19:57:54,100.0
2025-08-28T11:14:08,0.0
2025-08-28T11:14:12,100.0
2025-08-28T11:14:26,50.91
2025-08-28T11:14:30,100.0
2025-08-28T11:14:36,78.18
2025-08-28T16:14:38,1.82
2025-08-28T16:17:38,1.82
2025-08-28T16:16:38,2.82
2025-08-28T16:15:38,3.82
2025-08-29T16:14:38,4.82
2025-08-29T16:17:38,5.82
2025-08-29T16:16:38,6.82
2025-08-29T16:15:38,7.82
2025-09-10T00:21:17,61.82
2025-09-10T00:21:20,100.0
2025-09-10T00:21:22,65.45
2025-09-10T00:21:28,94.55
2025-09-10T00:24:31,90.91
2025-09-10T00:24:46,94.55
2025-09-10T00:32:25,87.27
2025-09-10T00:33:22,96.36
2025-09-10T00:34:25,87.27
2025-09-10T00:35:01,94.55
2025-09-10T00:36:49,87.27
2025-09-10T00:36:58,94.55
2025-09-10T00:37:19,87.27
2025-09-10T00:39:37,90.91
2025-09-10T00:40:49,94.55
2025-09-10T00:41:44,89.09
2025-09-10T00:42:54,100.0
